replicate,sampled_years,threshold
773,2019|2018|2017|2021|2016|2023|2020|2018|2020|2021,z<-1
774,2022|2017|2024|2019|2021|2020|2021|2025|2017|2021,z<-1
775,2025|2017|2019|2020|2016|2021|2021|2022|2016|2020,z<-1
776,2025|2016|2016|2025|2022|2025|2022|2019|2021|2018,z<-1
777,2025|2019|2023|2025|2018|2017|2021|2023|2019|2025,z<-1
778,2022|2021|2024|2020|2017|2023|2018|2019|2016|2017,z<-1
779,2019|2023|2020|2023|2019|2020|2025|2021|2024|2022,z<-1
780,2024|2018|2022|2016|2017|2017|2021|2018|2024|2017,z<-1
781,2025|2017|2021|2016|2017|2017|2018|2018|2016|2025,z<-1
782,2024|2020|2019|2022|2016|2020|2023|2018|2020|2016,z<-1
783,2025|2021|2021|2023|2020|2020|2022|2024|2017|2022,z<-1
784,2016|2020|2020|2017|2017|2024|2024|2023|2018|2022,z<-1
785,2024|2017|2017|2024|2023|2020|2025|2023|2024|2021,z<-1
786,2016|2019|2016|2020|2017|2018|2017|2023|2022|2019,z<-1
787,2018|2019|2024|2019|2022|2017|2024|2017|2022|2024,z<-1
788,2020|2018|2021|2024|2020|2020|2021|2022|2024|2020,z<-1
789,2025|2021|2016|2019|2020|2021|2022|2020|2017|2025,z<-1
790,2019|2025|2016|2024|2019|2022|2020|2025|2025|2022,z<-1
791,2022|2019|2025|2023|2021|2024|2016|2025|2021|2024,z<-1
792,2016|2017|2022|2019|2023|2016|2018|2022|2017|2025,z<-1
793,2019|2024|2020|2019|2020|2017|2024|2022|2020|2021,z<-1
794,2023|2017|2018|2024|2017|2021|2020|2019|2024|2017,z<-1
795,2018|2018|2019|2024|2025|2018|2019|2019|2024|2019,z<-1
796,2022|2023|2023|2016|2020|2023|2022|2025|2024|2023,z<-1
797,2020|2016|2025|2022|2023|2023|2021|2019|2019|2025,z<-1
798,2020|2024|2025|2024|2017|2021|2022|2021|2024|2025,z<-1
799,2018|2025|2016|2017|2016|2018|2024|2025|2019|2021,z<-1
800,2021|2016|2016|2024|2025|2016|2018|2018|2018|2020,z<-1
801,2021|2017|2025|2022|2024|2023|2022|2020|2024|2020,z<-1
802,2025|2018|2025|2020|2020|2022|2017|2020|2017|2022,z<-1
803,2016|2019|2025|2019|2024|2018|2018|2016|2016|2021,z<-1
804,2019|2017|2017|2021|2018|2022|2025|2025|2019|2021,z<-1
805,2021|2019|2017|2021|2021|2019|2025|2019|2016|2020,z<-1
806,2021|2025|2022|2019|2019|2025|2024|2021|2022|2016,z<-1
807,2019|2021|2022|2018|2020|2024|2023|2022|2023|2022,z<-1
808,2020|2017|2021|2017|2017|2019|2019|2016|2018|2023,z<-1
809,2017|2021|2021|2025|2016|2023|2024|2019|2021|2021,z<-1
810,2025|2023|2024|2017|2016|2020|2016|2018|2025|2023,z<-1
811,2019|2020|2023|2025|2020|2020|2020|2016|2020|2020,z<-1
812,2018|2016|2018|2017|2019|2018|2023|2025|2023|2016,z<-1
813,2017|2021|2019|2024|2024|2016|2020|2023|2018|2022,z<-1
814,2025|2025|2020|2021|2020|2024|2023|2016|2023|2025,z<-1
815,2017|2016|2024|2021|2022|2017|2022|2023|2018|2020,z<-1
816,2018|2016|2016|2018|2016|2025|2021|2023|2025|2019,z<-1
817,2017|2024|2023|2018|2016|2016|2025|2016|2023|2022,z<-1
818,2018|2025|2019|2024|2022|2023|2024|2016|2017|2016,z<-1
819,2020|2024|2017|2018|2024|2025|2019|2023|2023|2017,z<-1
820,2017|2018|2017|2024|2022|2023|2023|2024|2023|2020,z<-1
821,2020|2023|2023|2025|2020|2025|2018|2016|2018|2018,z<-1
822,2016|2017|2016|2021|2021|2016|2018|2024|2022|2019,z<-1
823,2022|2025|2018|2021|2024|2025|2018|2017|2018|2022,z<-1
824,2022|2016|2020|2025|2025|2025|2025|2023|2022|2018,z<-1
825,2016|2017|2024|2017|2016|2023|2022|2025|2023|2022,z<-1
826,2024|2019|2017|2022|2021|2021|2019|2016|2017|2024,z<-1
827,2020|2019|2023|2017|2022|2018|2025|2025|2020|2021,z<-1
828,2021|2017|2024|2023|2025|2022|2020|2020|2023|2018,z<-1
829,2017|2019|2024|2025|2024|2022|2020|2019|2019|2020,z<-1
830,2020|2025|2022|2025|2023|2022|2019|2025|2020|2021,z<-1
831,2017|2018|2025|2020|2017|2016|2020|2019|2022|2021,z<-1
832,2025|2022|2025|2016|2022|2022|2025|2024|2018|2025,z<-1
833,2023|2025|2022|2023|2017|2023|2018|2020|2021|2018,z<-1
834,2022|2018|2019|2018|2016|2018|2019|2018|2025|2019,z<-1
835,2025|2018|2021|2018|2022|2023|2025|2021|2023|2018,z<-1
836,2023|2018|2021|2018|2018|2018|2024|2024|2025|2019,z<-1
837,2020|2017|2016|2019|2018|2024|2019|2025|2022|2022,z<-1
838,2024|2018|2022|2018|2021|2020|2017|2024|2025|2020,z<-1
839,2024|2024|2019|2018|2019|2019|2018|2018|2016|2018,z<-1
840,2020|2025|2024|2019|2021|2021|2016|2020|2017|2021,z<-1
841,2018|2024|2025|2021|2025|2025|2022|2021|2019|2021,z<-1
842,2025|2025|2016|2017|2017|2024|2016|2021|2023|2018,z<-1
843,2024|2021|2016|2017|2018|2017|2019|2019|2024|2024,z<-1
844,2024|2023|2023|2024|2023|2021|2016|2022|2025|2020,z<-1
845,2020|2016|2025|2021|2022|2023|2023|2016|2020|2021,z<-1
846,2025|2021|2020|2016|2024|2021|2017|2019|2023|2022,z<-1
847,2024|2019|2016|2017|2023|2025|2021|2024|2025|2020,z<-1
848,2020|2017|2017|2017|2022|2017|2023|2020|2024|2018,z<-1
849,2019|2022|2024|2023|2022|2024|2019|2023|2018|2019,z<-1
850,2022|2020|2020|2024|2018|2020|2016|2024|2025|2017,z<-1
851,2021|2020|2019|2020|2018|2023|2023|2025|2019|2018,z<-1
852,2021|2023|2023|2020|2024|2017|2020|2016|2022|2024,z<-1
853,2019|2021|2016|2017|2019|2020|2017|2022|2018|2025,z<-1
854,2023|2016|2023|2025|2019|2019|2016|2018|2019|2018,z<-1
855,2021|2017|2016|2019|2018|2016|2020|2018|2018|2021,z<-1
856,2025|2017|2018|2016|2017|2023|2018|2023|2025|2022,z<-1
857,2019|2019|2019|2021|2017|2021|2019|2025|2024|2018,z<-1
858,2020|2021|2016|2018|2020|2020|2025|2021|2017|2024,z<-1
859,2025|2024|2017|2021|2022|2025|2021|2022|2019|2024,z<-1
860,2024|2020|2025|2021|2020|2020|2023|2023|2016|2023,z<-1
861,2023|2021|2016|2023|2021|2017|2022|2018|2024|2025,z<-1
862,2025|2022|2024|2018|2019|2023|2022|2021|2019|2025,z<-1
863,2020|2019|2022|2016|2020|2018|2022|2019|2020|2024,z<-1
864,2025|2017|2022|2024|2022|2016|2017|2019|2020|2025,z<-1
865,2019|2020|2017|2023|2016|2016|2020|2017|2018|2024,z<-1
866,2018|2024|2020|2019|2020|2021|2023|2024|2020|2021,z<-1
867,2016|2022|2024|2016|2020|2018|2017|2017|2025|2019,z<-1
868,2018|2025|2021|2020|2018|2022|2019|2019|2016|2018,z<-1
869,2025|2020|2023|2020|2018|2017|2019|2018|2020|2024,z<-1
870,2017|2018|2022|2020|2024|2016|2016|2023|2024|2016,z<-1
871,2019|2022|2019|2018|2018|2025|2016|2016|2025|2019,z<-1
872,2024|2022|2019|2021|2019|2021|2016|2023|2020|2022,z<-1
873,2016|2018|2021|2022|2025|2016|2016|2016|2019|2016,z<-1
874,2025|2020|2024|2020|2020|2018|2021|2016|2022|2018,z<-1
875,2020|2018|2025|2019|2025|2020|2025|2022|2024|2016,z<-1
876,2020|2016|2024|2022|2016|2022|2020|2022|2016|2022,z<-1
877,2021|2017|2021|2021|2018|2018|2020|2021|2017|2018,z<-1
878,2022|2018|2020|2016|2024|2022|2019|2020|2018|2021,z<-1
879,2021|2024|2018|2024|2021|2017|2019|2025|2019|2020,z<-1
880,2023|2016|2016|2016|2018|2016|2020|2016|2022|2018,z<-1
881,2016|2019|2025|2017|2025|2020|2023|2022|2024|2023,z<-1
882,2021|2024|2021|2016|2025|2016|2022|2018|2017|2023,z<-1
883,2024|2023|2021|2019|2023|2023|2019|2022|2017|2018,z<-1
884,2025|2025|2017|2025|2018|2016|2016|2017|2017|2018,z<-1
885,2025|2021|2025|2024|2022|2021|2018|2021|2016|2022,z<-1
886,2021|2018|2017|2024|2016|2021|2019|2016|2024|2024,z<-1
887,2021|2025|2022|2023|2019|2024|2018|2023|2022|2025,z<-1
888,2022|2018|2018|2017|2020|2020|2025|2018|2018|2025,z<-1
889,2021|2019|2021|2019|2017|2016|2017|2022|2023|2020,z<-1
890,2019|2016|2016|2016|2025|2025|2018|2018|2022|2017,z<-1
891,2023|2019|2022|2022|2018|2016|2022|2018|2017|2022,z<-1
892,2018|2017|2019|2023|2020|2021|2021|2017|2021|2022,z<-1
893,2021|2016|2025|2021|2018|2016|2017|2017|2022|2016,z<-1
894,2019|2021|2018|2017|2025|2021|2018|2019|2018|2024,z<-1
895,2025|2022|2019|2024|2024|2017|2018|2022|2018|2021,z<-1
896,2022|2017|2018|2018|2024|2018|2025|2018|2024|2016,z<-1
897,2025|2025|2017|2018|2016|2021|2016|2019|2018|2023,z<-1
898,2021|2021|2025|2019|2024|2018|2020|2020|2019|2021,z<-1
899,2024|2021|2020|2024|2023|2025|2019|2023|2025|2016,z<-1
900,2022|2016|2023|2023|2021|2018|2018|2020|2022|2020,z<-1
901,2024|2019|2023|2025|2023|2020|2024|2019|2021|2024,z<-1
902,2017|2024|2018|2025|2021|2021|2023|2017|2022|2023,z<-1
903,2017|2016|2023|2019|2022|2025|2019|2019|2020|2017,z<-1
904,2019|2024|2025|2020|2021|2019|2016|2024|2025|2025,z<-1
905,2024|2019|2018|2024|2016|2016|2024|2021|2018|2022,z<-1
906,2023|2020|2025|2021|2020|2020|2025|2020|2017|2021,z<-1
907,2023|2018|2022|2016|2020|2021|2017|2019|2019|2023,z<-1
908,2017|2020|2017|2016|2016|2020|2023|2021|2022|2017,z<-1
909,2025|2017|2018|2018|2022|2025|2017|2025|2024|2020,z<-1
910,2025|2024|2020|2020|2020|2017|2019|2022|2023|2017,z<-1
911,2017|2020|2016|2025|2018|2022|2020|2025|2018|2017,z<-1
912,2017|2025|2024|2025|2022|2017|2020|2021|2020|2025,z<-1
913,2019|2019|2022|2016|2016|2024|2025|2020|2018|2021,z<-1
914,2016|2020|2016|2020|2025|2019|2018|2019|2021|2017,z<-1
915,2019|2020|2017|2023|2023|2021|2016|2023|2016|2025,z<-1
916,2017|2018|2020|2019|2019|2018|2016|2016|2016|2020,z<-1
917,2024|2019|2022|2018|2018|2022|2022|2018|2025|2016,z<-1
918,2016|2019|2022|2023|2021|2020|2025|2016|2025|2021,z<-1
919,2022|2021|2022|2023|2023|2018|2025|2021|2020|2025,z<-1
920,2019|2016|2024|2017|2018|2020|2018|2025|2025|2018,z<-1
921,2019|2019|2022|2021|2021|2019|2022|2024|2021|2025,z<-1
922,2016|2022|2020|2025|2023|2018|2020|2019|2025|2021,z<-1
923,2021|2016|2022|2018|2023|2024|2021|2023|2020|2020,z<-1
924,2024|2024|2018|2021|2025|2018|2017|2016|2016|2017,z<-1
925,2017|2023|2025|2022|2024|2022|2023|2016|2024|2021,z<-1
926,2018|2019|2018|2022|2025|2019|2017|2023|2023|2016,z<-1
927,2016|2018|2022|2024|2025|2017|2025|2018|2020|2018,z<-1
928,2019|2025|2020|2018|2024|2017|2021|2019|2020|2025,z<-1
929,2022|2020|2018|2018|2022|2025|2020|2019|2025|2017,z<-1
930,2024|2023|2023|2024|2017|2021|2024|2024|2023|2019,z<-1
931,2018|2016|2025|2020|2021|2023|2021|2019|2018|2021,z<-1
932,2024|2019|2018|2019|2022|2020|2021|2016|2024|2023,z<-1
933,2024|2024|2017|2018|2023|2025|2024|2025|2021|2020,z<-1
934,2016|2024|2024|2020|2020|2016|2020|2024|2025|2017,z<-1
935,2021|2021|2019|2022|2016|2018|2017|2021|2016|2021,z<-1
936,2024|2018|2019|2023|2016|2023|2023|2022|2021|2019,z<-1
937,2023|2017|2021|2018|2025|2019|2020|2023|2020|2024,z<-1
938,2018|2022|2020|2021|2016|2018|2017|2020|2025|2020,z<-1
939,2024|2019|2016|2025|2021|2022|2022|2023|2017|2019,z<-1
940,2020|2025|2017|2025|2020|2021|2022|2019|2018|2021,z<-1
941,2024|2018|2022|2021|2024|2023|2023|2019|2024|2025,z<-1
942,2018|2025|2016|2021|2019|2018|2020|2018|2016|2018,z<-1
943,2019|2020|2022|2017|2016|2017|2017|2020|2017|2023,z<-1
944,2022|2018|2021|2024|2019|2021|2023|2021|2021|2017,z<-1
945,2022|2018|2019|2018|2024|2020|2017|2025|2018|2023,z<-1
946,2021|2016|2016|2020|2021|2023|2017|2021|2021|2022,z<-1
947,2022|2021|2018|2016|2025|2023|2018|2022|2025|2017,z<-1
948,2019|2025|2021|2018|2020|2022|2025|2024|2016|2021,z<-1
949,2017|2021|2017|2020|2024|2019|2019|2017|2022|2025,z<-1
950,2021|2021|2019|2024|2021|2024|2022|2016|2020|2023,z<-1
951,2024|2025|2018|2024|2016|2025|2022|2020|2016|2017,z<-1
952,2020|2022|2025|2022|2019|2016|2021|2017|2017|2022,z<-1
953,2024|2019|2022|2016|2025|2016|2025|2021|2024|2021,z<-1
954,2019|2019|2016|2024|2018|2022|2018|2019|2017|2024,z<-1
955,2021|2018|2017|2017|2019|2019|2025|2022|2021|2024,z<-1
956,2019|2022|2019|2020|2021|2019|2023|2024|2021|2022,z<-1
957,2022|2024|2018|2017|2024|2017|2022|2019|2023|2019,z<-1
958,2025|2018|2019|2020|2022|2024|2018|2018|2023|2016,z<-1
959,2017|2020|2020|2018|2017|2021|2020|2016|2022|2019,z<-1
960,2021|2022|2018|2016|2023|2025|2019|2019|2019|2024,z<-1
961,2022|2019|2024|2018|2016|2024|2018|2020|2024|2023,z<-1
962,2016|2018|2017|2024|2020|2019|2017|2025|2017|2025,z<-1
963,2024|2020|2025|2020|2018|2020|2020|2023|2019|2025,z<-1
964,2021|2023|2019|2021|2019|2025|2016|2019|2024|2017,z<-1
965,2021|2024|2025|2021|2016|2024|2018|2019|2018|2018,z<-1
966,2024|2024|2024|2021|2018|2019|2022|2019|2024|2022,z<-1
967,2024|2022|2021|2025|2024|2019|2017|2018|2016|2024,z<-1
968,2020|2024|2025|2025|2021|2021|2019|2016|2021|2019,z<-1
969,2022|2024|2021|2019|2022|2017|2022|2023|2022|2022,z<-1
970,2020|2018|2019|2020|2025|2023|2020|2017|2024|2021,z<-1
971,2017|2025|2016|2019|2024|2020|2019|2019|2025|2016,z<-1
972,2024|2018|2021|2018|2018|2020|2016|2024|2022|2016,z<-1
973,2016|2024|2020|2024|2021|2018|2016|2016|2016|2017,z<-1
974,2016|2017|2025|2022|2022|2017|2021|2016|2018|2022,z<-1
975,2025|2016|2024|2024|2020|2023|2016|2020|2016|2022,z<-1
976,2024|2023|2022|2017|2016|2018|2018|2018|2021|2020,z<-1
977,2025|2020|2023|2017|2023|2022|2018|2022|2022|2020,z<-1
978,2018|2016|2024|2025|2017|2017|2022|2018|2023|2019,z<-1
979,2017|2018|2017|2023|2019|2019|2017|2018|2023|2018,z<-1
980,2022|2025|2019|2017|2018|2020|2022|2018|2025|2023,z<-1
981,2017|2016|2016|2016|2025|2021|2017|2018|2016|2021,z<-1
982,2023|2018|2017|2023|2016|2024|2025|2019|2025|2023,z<-1
983,2020|2021|2025|2016|2017|2016|2023|2024|2019|2022,z<-1
984,2018|2025|2023|2023|2019|2017|2023|2025|2022|2018,z<-1
985,2023|2018|2017|2018|2018|2023|2020|2016|2017|2025,z<-1
986,2017|2023|2016|2020|2016|2022|2022|2017|2017|2021,z<-1
987,2021|2017|2017|2020|2023|2021|2022|2016|2023|2019,z<-1
988,2017|2023|2020|2018|2019|2025|2025|2017|2018|2023,z<-1
989,2019|2016|2018|2021|2022|2025|2019|2018|2020|2016,z<-1
990,2025|2021|2017|2016|2022|2021|2025|2019|2017|2022,z<-1
991,2020|2023|2023|2016|2023|2020|2024|2025|2023|2023,z<-1
992,2020|2024|2020|2021|2025|2025|2025|2024|2017|2025,z<-1
993,2018|2018|2018|2023|2022|2025|2018|2018|2025|2017,z<-1
994,2017|2016|2025|2016|2024|2016|2024|2018|2017|2023,z<-1
995,2024|2018|2017|2019|2022|2024|2023|2024|2017|2023,z<-1
996,2016|2016|2021|2024|2021|2016|2019|2017|2017|2025,z<-1
997,2018|2018|2018|2018|2017|2023|2019|2023|2021|2023,z<-1
998,2019|2021|2024|2017|2024|2025|2020|2021|2021|2016,z<-1
999,2021|2018|2018|2017|2020|2021|2019|2023|2025|2023,z<-1
1000,2019|2024|2018|2020|2019|2016|2020|2017|2016|2016,z<-1
1001,2016|2024|2022|2020|2019|2020|2022|2022|2017|2021,z<-1
1002,2021|2016|2023|2025|2020|2018|2018|2024|2020|2019,z<-1
1003,2018|2023|2019|2017|2019|2023|2019|2025|2018|2016,z<-1
1004,2018|2025|2016|2024|2024|2021|2019|2021|2020|2019,z<-1
1005,2018|2020|2021|2021|2020|2018|2018|2023|2019|2022,z<-1
1006,2018|2016|2024|2016|2024|2023|2020|2025|2022|2019,z<-1
1007,2018|2022|2024|2024|2016|2018|2016|2020|2024|2022,z<-1
1008,2022|2017|2016|2016|2021|2022|2017|2023|2023|2024,z<-1
1009,2019|2019|2017|2020|2017|2017|2016|2022|2018|2019,z<-1
1010,2017|2020|2018|2022|2020|2020|2017|2018|2022|2019,z<-1
1011,2021|2022|2019|2024|2023|2020|2022|2018|2025|2017,z<-1
1012,2023|2017|2020|2023|2019|2019|2017|2016|2025|2021,z<-1
1013,2021|2018|2018|2022|2025|2022|2018|2024|2021|2025,z<-1
1014,2020|2016|2018|2020|2025|2018|2025|2025|2021|2018,z<-1
1015,2018|2021|2020|2025|2024|2022|2019|2024|2025|2025,z<-1
1016,2024|2018|2017|2019|2019|2021|2019|2023|2021|2023,z<-1
1017,2019|2016|2021|2016|2023|2019|2022|2017|2021|2019,z<-1
1018,2024|2021|2022|2020|2018|2024|2017|2017|2020|2021,z<-1
1019,2021|2016|2016|2017|2017|2016|2019|2018|2024|2020,z<-1
1020,2024|2022|2025|2016|2019|2023|2016|2022|2025|2016,z<-1
1021,2017|2019|2025|2020|2019|2022|2025|2017|2017|2022,z<-1
1022,2017|2023|2016|2017|2024|2017|2023|2024|2020|2017,z<-1
1023,2024|2020|2018|2021|2022|2023|2016|2020|2016|2021,z<-1
1024,2018|2020|2025|2025|2022|2018|2025|2022|2017|2023,z<-1
1025,2017|2025|2023|2018|2025|2023|2021|2018|2025|2018,z<-1
1026,2023|2020|2024|2017|2019|2021|2021|2022|2019|2021,z<-1
1027,2017|2016|2021|2016|2023|2018|2024|2017|2017|2019,z<-1
1028,2023|2016|2018|2017|2016|2017|2021|2018|2021|2022,z<-1
1029,2024|2024|2017|2017|2025|2017|2021|2021|2018|2020,z<-1
1030,2017|2017|2018|2017|2018|2025|2025|2025|2023|2021,z<-1
1031,2017|2017|2018|2021|2022|2023|2016|2024|2019|2019,z<-1
1032,2017|2024|2019|2018|2017|2023|2024|2018|2025|2020,z<-1
1033,2020|2024|2022|2021|2020|2023|2017|2021|2016|2025,z<-1
1034,2024|2024|2018|2022|2018|2017|2025|2016|2024|2022,z<-1
1035,2019|2016|2024|2018|2019|2022|2022|2018|2018|2020,z<-1
1036,2024|2018|2022|2017|2023|2019|2018|2022|2025|2025,z<-1
1037,2017|2025|2016|2023|2023|2019|2024|2018|2017|2016,z<-1
1038,2016|2016|2024|2024|2023|2023|2023|2019|2025|2021,z<-1
1039,2018|2023|2022|2025|2025|2018|2017|2019|2019|2019,z<-1
1040,2018|2017|2025|2024|2019|2019|2018|2018|2021|2019,z<-1
1041,2018|2016|2024|2016|2016|2025|2017|2022|2021|2025,z<-1
1042,2019|2020|2025|2022|2023|2025|2024|2017|2024|2019,z<-1
1043,2024|2018|2017|2020|2021|2025|2016|2023|2023|2016,z<-1
1044,2023|2017|2021|2017|2016|2018|2021|2017|2018|2021,z<-1
1045,2024|2019|2018|2016|2018|2022|2023|2022|2020|2020,z<-1
1046,2018|2023|2016|2017|2020|2023|2019|2022|2017|2023,z<-1
1047,2018|2020|2024|2016|2022|2025|2020|2018|2021|2021,z<-1
1048,2021|2025|2025|2025|2016|2021|2021|2025|2018|2018,z<-1
1049,2025|2020|2024|2019|2018|2024|2023|2025|2019|2021,z<-1
1050,2017|2017|2020|2021|2017|2022|2018|2019|2018|2021,z<-1
1051,2016|2024|2022|2020|2019|2023|2022|2020|2024|2023,z<-1
1052,2018|2020|2018|2019|2020|2023|2017|2018|2022|2024,z<-1
1053,2023|2020|2019|2018|2016|2019|2019|2025|2023|2024,z<-1
1054,2018|2024|2025|2023|2023|2016|2018|2018|2018|2024,z<-1
1055,2025|2020|2016|2021|2017|2017|2020|2024|2019|2020,z<-1
1056,2020|2017|2017|2022|2018|2020|2023|2020|2016|2025,z<-1
1057,2021|2024|2020|2019|2023|2025|2024|2025|2021|2018,z<-1
1058,2019|2022|2023|2023|2020|2018|2017|2022|2024|2024,z<-1
1059,2016|2025|2025|2023|2020|2018|2016|2017|2020|2019,z<-1
1060,2017|2025|2020|2021|2019|2025|2024|2017|2020|2024,z<-1
1061,2016|2023|2023|2017|2025|2017|2020|2016|2024|2019,z<-1
1062,2018|2017|2024|2018|2021|2017|2024|2022|2022|2020,z<-1
1063,2017|2025|2025|2022|2022|2019|2018|2016|2016|2016,z<-1
1064,2021|2020|2019|2025|2018|2025|2018|2018|2025|2020,z<-1
1065,2017|2020|2020|2020|2020|2024|2017|2023|2018|2019,z<-1
1066,2020|2019|2016|2022|2024|2020|2019|2021|2019|2016,z<-1
1067,2020|2023|2017|2018|2017|2016|2023|2022|2022|2023,z<-1
1068,2021|2018|2024|2016|2016|2018|2022|2023|2020|2022,z<-1
1069,2016|2017|2018|2019|2023|2024|2021|2017|2024|2023,z<-1
1070,2017|2022|2023|2021|2016|2025|2024|2020|2016|2018,z<-1
1071,2024|2018|2020|2022|2021|2022|2024|2020|2024|2021,z<-1
1072,2020|2022|2016|2024|2025|2022|2016|2023|2025|2019,z<-1
1073,2018|2021|2018|2017|2020|2025|2017|2025|2024|2021,z<-1
1074,2018|2025|2018|2017|2017|2023|2017|2018|2018|2024,z<-1
1075,2017|2019|2024|2022|2018|2025|2024|2021|2017|2021,z<-1
1076,2024|2024|2025|2017|2023|2023|2022|2020|2019|2023,z<-1
1077,2017|2020|2025|2016|2021|2016|2016|2021|2021|2016,z<-1
1078,2019|2016|2018|2025|2024|2019|2016|2025|2022|2024,z<-1
1079,2018|2022|2018|2024|2016|2024|2017|2024|2019|2023,z<-1
1080,2017|2018|2022|2021|2020|2023|2021|2025|2024|2024,z<-1
1081,2019|2023|2018|2020|2018|2019|2023|2020|2022|2024,z<-1
1082,2020|2018|2025|2018|2025|2022|2023|2017|2016|2024,z<-1
1083,2016|2025|2021|2024|2017|2025|2022|2021|2024|2023,z<-1
1084,2025|2024|2017|2021|2018|2022|2020|2017|2021|2020,z<-1
1085,2017|2025|2023|2017|2023|2018|2016|2025|2020|2023,z<-1
1086,2021|2020|2024|2025|2016|2023|2017|2020|2019|2018,z<-1
1087,2018|2022|2023|2025|2018|2022|2017|2023|2020|2017,z<-1
1088,2023|2021|2018|2022|2023|2024|2025|2017|2017|2023,z<-1
1089,2018|2016|2023|2020|2018|2016|2019|2018|2024|2024,z<-1
1090,2025|2021|2019|2024|2023|2016|2016|2021|2018|2021,z<-1
1091,2019|2016|2025|2020|2016|2021|2025|2019|2023|2017,z<-1
1092,2025|2018|2018|2021|2023|2018|2018|2020|2024|2020,z<-1
1093,2021|2022|2022|2025|2021|2022|2016|2024|2018|2022,z<-1
1094,2025|2018|2022|2025|2017|2024|2024|2017|2021|2023,z<-1
1095,2019|2020|2016|2016|2025|2019|2019|2020|2017|2018,z<-1
1096,2020|2023|2022|2021|2019|2024|2020|2024|2016|2025,z<-1
1097,2019|2019|2020|2024|2017|2016|2024|2025|2021|2022,z<-1
1098,2024|2023|2024|2018|2025|2019|2021|2017|2018|2017,z<-1
1099,2023|2024|2022|2016|2024|2017|2016|2023|2023|2024,z<-1
1100,2025|2024|2022|2021|2017|2017|2023|2017|2020|2020,z<-1
1101,2022|2022|2018|2025|2022|2023|2018|2021|2020|2025,z<-1
1102,2018|2022|2020|2020|2024|2016|2018|2020|2025|2018,z<-1
1103,2024|2017|2024|2016|2019|2022|2023|2017|2022|2023,z<-1
1104,2022|2018|2019|2024|2021|2024|2021|2023|2019|2022,z<-1
1105,2024|2024|2024|2025|2023|2025|2023|2025|2017|2025,z<-1
1106,2023|2021|2018|2018|2019|2023|2023|2018|2018|2016,z<-1
1107,2018|2024|2022|2017|2024|2022|2016|2018|2019|2019,z<-1
1108,2020|2018|2025|2021|2023|2018|2024|2022|2024|2017,z<-1
1109,2019|2017|2018|2020|2024|2024|2024|2022|2022|2018,z<-1
1110,2018|2018|2017|2025|2025|2020|2021|2022|2025|2025,z<-1
1111,2018|2025|2025|2024|2023|2023|2019|2022|2024|2025,z<-1
1112,2019|2016|2023|2021|2018|2017|2020|2018|2024|2016,z<-1
1113,2021|2025|2021|2025|2025|2023|2024|2022|2018|2019,z<-1
1114,2024|2021|2017|2019|2024|2017|2017|2017|2018|2020,z<-1
1115,2024|2016|2018|2021|2025|2024|2018|2019|2025|2017,z<-1
1116,2025|2019|2022|2022|2017|2018|2022|2025|2017|2022,z<-1
1117,2021|2025|2024|2025|2023|2021|2019|2016|2025|2023,z<-1
1118,2025|2020|2023|2020|2022|2025|2018|2018|2021|2021,z<-1
1119,2016|2017|2025|2022|2024|2022|2023|2016|2020|2023,z<-1
1120,2021|2017|2023|2022|2018|2020|2025|2021|2018|2017,z<-1
1121,2017|2021|2022|2018|2016|2020|2021|2021|2020|2016,z<-1
1122,2020|2018|2018|2023|2016|2019|2024|2016|2016|2025,z<-1
1123,2020|2022|2021|2016|2024|2018|2016|2022|2016|2023,z<-1
1124,2022|2025|2017|2025|2018|2018|2024|2021|2017|2021,z<-1
1125,2023|2018|2019|2019|2022|2018|2019|2016|2016|2017,z<-1
1126,2017|2019|2016|2020|2023|2025|2022|2024|2019|2024,z<-1
1127,2023|2017|2021|2020|2021|2020|2021|2017|2016|2024,z<-1
1128,2022|2019|2019|2019|2018|2022|2023|2016|2022|2021,z<-1
1129,2021|2017|2024|2022|2018|2023|2024|2025|2024|2020,z<-1
1130,2018|2018|2018|2025|2018|2024|2020|2019|2025|2021,z<-1
1131,2019|2019|2023|2017|2023|2021|2024|2021|2023|2024,z<-1
1132,2018|2016|2025|2019|2021|2020|2017|2016|2016|2025,z<-1
1133,2024|2024|2016|2023|2025|2016|2025|2018|2018|2025,z<-1
1134,2020|2020|2024|2020|2024|2021|2017|2021|2022|2025,z<-1
1135,2021|2023|2019|2025|2024|2017|2025|2019|2024|2023,z<-1
1136,2022|2018|2024|2020|2018|2019|2021|2025|2021|2024,z<-1
1137,2019|2017|2020|2019|2021|2024|2017|2022|2024|2017,z<-1
1138,2023|2018|2023|2016|2016|2023|2025|2023|2023|2021,z<-1
1139,2018|2021|2017|2022|2022|2020|2019|2022|2023|2022,z<-1
1140,2022|2017|2023|2017|2022|2023|2017|2020|2022|2024,z<-1
1141,2017|2025|2020|2018|2022|2025|2022|2020|2017|2020,z<-1
1142,2022|2024|2016|2022|2019|2019|2023|2022|2023|2020,z<-1
1143,2018|2019|2016|2019|2016|2023|2025|2025|2023|2022,z<-1
1144,2018|2019|2023|2021|2022|2018|2018|2017|2020|2016,z<-1
1145,2020|2024|2020|2025|2021|2023|2020|2018|2022|2020,z<-1
1146,2020|2023|2023|2021|2018|2019|2016|2022|2022|2018,z<-1
