replicate,sampled_years
436,2021|2023|2024|2021|2023|2017|2020|2017|2021|2016
437,2020|2019|2017|2025|2019|2016|2022|2020|2016|2025
438,2025|2025|2020|2025|2022|2018|2021|2021|2018|2019
439,2021|2018|2023|2023|2016|2023|2018|2020|2020|2023
440,2017|2021|2021|2019|2023|2019|2018|2018|2025|2020
441,2022|2023|2024|2021|2022|2022|2024|2022|2024|2022
442,2016|2021|2020|2020|2023|2020|2020|2018|2020|2019
443,2022|2023|2017|2023|2017|2017|2023|2023|2022|2016
444,2024|2024|2017|2016|2021|2021|2018|2018|2025|2021
445,2022|2024|2018|2022|2019|2020|2025|2021|2020|2025
446,2023|2025|2022|2021|2022|2020|2018|2023|2020|2016
447,2019|2024|2023|2022|2023|2023|2023|2025|2018|2019
448,2024|2024|2017|2025|2019|2022|2019|2019|2018|2025
449,2022|2025|2025|2016|2021|2021|2021|2017|2023|2021
450,2019|2016|2025|2017|2025|2017|2023|2025|2021|2021
451,2019|2016|2025|2022|2018|2017|2017|2025|2023|2025
452,2021|2017|2024|2018|2021|2016|2018|2020|2020|2017
453,2024|2017|2022|2017|2017|2025|2016|2017|2018|2025
454,2019|2022|2024|2016|2021|2019|2025|2021|2017|2018
455,2022|2019|2016|2017|2024|2017|2017|2016|2023|2019
456,2020|2017|2023|2021|2016|2020|2020|2018|2021|2024
457,2020|2024|2021|2025|2021|2017|2017|2023|2017|2018
458,2019|2021|2025|2017|2023|2018|2016|2020|2018|2020
459,2018|2016|2021|2025|2023|2019|2019|2019|2017|2022
460,2021|2019|2019|2016|2022|2022|2020|2022|2016|2023
461,2022|2016|2017|2018|2019|2022|2024|2020|2022|2024
462,2022|2021|2019|2021|2022|2020|2017|2019|2024|2021
463,2023|2018|2024|2017|2018|2025|2023|2025|2022|2019
464,2022|2025|2023|2022|2020|2019|2025|2020|2024|2024
465,2024|2017|2023|2016|2021|2022|2024|2018|2019|2022
466,2016|2017|2021|2024|2024|2019|2018|2025|2022|2020
467,2016|2021|2017|2020|2016|2023|2022|2020|2022|2020
468,2023|2017|2023|2023|2021|2025|2019|2021|2018|2022
469,2018|2025|2024|2024|2025|2021|2023|2022|2021|2022
470,2025|2020|2016|2023|2022|2020|2023|2022|2019|2018
471,2020|2016|2020|2019|2020|2020|2023|2023|2017|2018
472,2020|2025|2018|2019|2021|2018|2018|2016|2016|2021
473,2022|2023|2020|2025|2020|2017|2020|2017|2017|2019
474,2025|2018|2017|2016|2023|2021|2025|2025|2017|2022
475,2025|2016|2019|2024|2019|2024|2023|2016|2024|2018
476,2023|2017|2021|2024|2022|2017|2017|2018|2018|2023
477,2019|2018|2018|2025|2019|2025|2024|2022|2024|2016
478,2019|2025|2022|2017|2016|2021|2021|2017|2024|2018
479,2018|2017|2016|2020|2019|2022|2016|2016|2017|2024
480,2024|2022|2022|2017|2019|2022|2024|2024|2025|2016
481,2016|2018|2022|2025|2018|2016|2022|2016|2022|2018
482,2019|2024|2018|2016|2016|2022|2016|2021|2023|2018
483,2022|2022|2025|2024|2022|2023|2021|2023|2017|2023
484,2018|2020|2023|2024|2025|2021|2016|2020|2024|2024
485,2022|2019|2023|2024|2025|2020|2024|2020|2019|2016
486,2017|2023|2018|2022|2023|2017|2023|2024|2019|2021
487,2018|2023|2019|2016|2021|2020|2020|2025|2023|2017
488,2023|2025|2017|2021|2025|2022|2017|2025|2019|2020
489,2025|2019|2017|2025|2020|2019|2018|2019|2019|2022
490,2019|2023|2022|2024|2023|2024|2023|2017|2018|2025
491,2018|2025|2022|2018|2024|2025|2018|2023|2016|2020
492,2016|2016|2024|2021|2023|2017|2025|2020|2025|2017
493,2024|2020|2016|2019|2017|2017|2016|2021|2016|2024
494,2020|2018|2025|2019|2024|2024|2017|2018|2020|2024
495,2023|2023|2024|2016|2018|2022|2019|2025|2021|2024
496,2016|2022|2016|2025|2021|2022|2024|2023|2020|2024
497,2018|2022|2021|2018|2019|2018|2025|2016|2024|2017
498,2023|2017|2018|2020|2017|2021|2021|2016|2016|2025
499,2023|2021|2025|2025|2017|2022|2019|2019|2025|2019
500,2018|2019|2023|2025|2021|2025|2016|2024|2020|2024
501,2024|2018|2017|2022|2019|2025|2017|2023|2019|2024
502,2017|2023|2016|2017|2020|2018|2023|2021|2021|2024
503,2021|2018|2024|2016|2023|2022|2025|2023|2018|2024
504,2022|2023|2022|2019|2020|2018|2023|2023|2017|2023
505,2024|2021|2019|2023|2022|2021|2018|2018|2024|2025
506,2021|2016|2019|2021|2023|2016|2019|2021|2017|2023
507,2018|2024|2022|2025|2023|2024|2020|2016|2020|2022
508,2018|2022|2019|2024|2020|2022|2017|2016|2023|2019
509,2018|2024|2016|2018|2024|2025|2025|2019|2018|2019
510,2022|2019|2024|2025|2025|2019|2018|2017|2020|2020
511,2017|2017|2016|2025|2017|2024|2023|2016|2022|2019
512,2021|2019|2019|2020|2021|2025|2017|2022|2025|2017
513,2019|2016|2018|2020|2021|2022|2025|2022|2019|2018
514,2020|2018|2023|2025|2024|2024|2021|2023|2020|2023
515,2020|2022|2016|2019|2025|2020|2018|2018|2017|2023
516,2025|2024|2021|2018|2025|2019|2023|2020|2018|2020
517,2019|2025|2024|2022|2020|2024|2025|2021|2016|2021
518,2016|2023|2024|2022|2017|2025|2020|2016|2020|2025
519,2019|2019|2020|2019|2023|2019|2025|2020|2020|2023
520,2025|2018|2020|2017|2022|2025|2018|2022|2024|2022
521,2020|2016|2019|2017|2021|2018|2020|2023|2017|2022
522,2023|2022|2022|2019|2017|2016|2020|2025|2017|2020
523,2023|2020|2018|2022|2023|2024|2020|2025|2020|2020
524,2024|2022|2025|2025|2022|2018|2018|2018|2024|2019
525,2017|2019|2024|2017|2024|2024|2021|2023|2018|2016
526,2020|2017|2016|2021|2023|2017|2025|2021|2018|2022
527,2022|2021|2018|2025|2019|2025|2020|2024|2016|2021
528,2021|2017|2019|2024|2016|2016|2018|2025|2016|2018
529,2025|2024|2023|2016|2025|2019|2019|2023|2017|2018
530,2016|2022|2024|2022|2021|2020|2016|2020|2024|2020
531,2018|2016|2018|2016|2025|2022|2021|2024|2023|2024
532,2021|2022|2019|2019|2018|2017|2019|2017|2016|2025
533,2019|2022|2020|2018|2018|2024|2023|2024|2016|2025
534,2020|2024|2018|2021|2018|2023|2024|2025|2019|2016
535,2018|2020|2017|2021|2018|2017|2024|2023|2017|2023
536,2016|2019|2016|2020|2022|2021|2025|2024|2023|2019
537,2024|2025|2025|2017|2024|2016|2016|2019|2018|2019
538,2020|2016|2016|2022|2018|2021|2020|2020|2017|2020
539,2018|2022|2022|2018|2021|2021|2016|2021|2023|2024
540,2022|2018|2016|2022|2025|2016|2021|2018|2024|2016
541,2024|2022|2023|2016|2023|2024|2019|2020|2025|2024
542,2019|2024|2021|2017|2019|2017|2023|2022|2016|2017
543,2021|2025|2019|2021|2018|2019|2021|2025|2021|2019
544,2017|2019|2023|2023|2017|2024|2020|2016|2022|2020
545,2016|2019|2020|2019|2025|2022|2018|2017|2016|2018
546,2018|2020|2017|2020|2023|2016|2024|2016|2018|2018
547,2024|2016|2016|2024|2017|2021|2024|2024|2017|2020
548,2017|2016|2019|2017|2020|2024|2023|2020|2020|2023
549,2025|2020|2022|2024|2019|2017|2020|2021|2023|2023
550,2024|2022|2018|2020|2020|2019|2018|2021|2017|2023
551,2023|2025|2021|2023|2021|2022|2025|2016|2019|2024
552,2022|2016|2022|2020|2023|2021|2023|2024|2020|2022
553,2023|2018|2022|2017|2018|2018|2021|2024|2022|2017
554,2019|2021|2017|2025|2025|2016|2017|2022|2016|2018
555,2025|2020|2020|2025|2024|2021|2025|2025|2019|2020
556,2022|2019|2018|2017|2021|2017|2020|2020|2017|2018
557,2020|2020|2025|2024|2019|2016|2023|2022|2023|2020
558,2024|2021|2024|2019|2017|2023|2019|2022|2022|2017
559,2018|2022|2021|2017|2017|2019|2019|2023|2017|2025
560,2017|2022|2024|2024|2020|2025|2020|2017|2021|2018
561,2017|2023|2018|2020|2017|2023|2016|2016|2019|2019
562,2022|2019|2021|2018|2023|2023|2021|2021|2018|2024
563,2016|2016|2024|2016|2021|2022|2016|2019|2019|2016
564,2016|2017|2020|2022|2024|2019|2016|2025|2021|2023
565,2025|2020|2025|2019|2018|2022|2022|2018|2020|2024
566,2021|2021|2018|2019|2019|2024|2025|2016|2024|2025
567,2023|2016|2019|2019|2016|2022|2025|2025|2020|2017
568,2019|2021|2022|2016|2019|2022|2022|2018|2021|2025
569,2017|2023|2018|2019|2025|2016|2020|2016|2023|2025
570,2019|2022|2024|2020|2017|2025|2020|2018|2023|2022
571,2019|2016|2016|2025|2017|2016|2023|2023|2022|2020
572,2021|2024|2016|2024|2020|2016|2017|2020|2022|2021
573,2021|2024|2022|2016|2016|2025|2020|2020|2024|2018
574,2016|2021|2025|2021|2018|2021|2020|2018|2020|2024
575,2021|2017|2022|2021|2023|2021|2017|2019|2023|2020
576,2017|2024|2021|2025|2018|2020|2020|2022|2022|2019
577,2020|2020|2021|2017|2022|2021|2018|2020|2016|2021
578,2019|2021|2025|2019|2019|2017|2025|2023|2019|2020
579,2025|2024|2019|2020|2021|2019|2022|2016|2020|2022
580,2018|2023|2022|2018|2024|2022|2022|2021|2021|2019
581,2021|2024|2019|2025|2022|2019|2023|2017|2016|2021
582,2018|2020|2022|2022|2016|2021|2025|2022|2023|2016
583,2023|2023|2021|2021|2022|2017|2018|2016|2016|2020
584,2024|2023|2021|2025|2018|2020|2021|2017|2019|2020
585,2024|2018|2016|2017|2020|2017|2023|2018|2021|2022
586,2022|2021|2023|2025|2025|2021|2022|2019|2018|2021
587,2017|2021|2025|2019|2023|2019|2024|2020|2020|2016
588,2016|2019|2017|2023|2024|2025|2022|2023|2020|2024
589,2017|2021|2017|2025|2019|2018|2021|2023|2019|2021
590,2020|2016|2024|2017|2018|2017|2019|2022|2017|2021
591,2019|2018|2022|2023|2022|2020|2023|2024|2025|2022
592,2019|2020|2022|2024|2018|2024|2024|2021|2021|2023
593,2020|2017|2025|2020|2016|2018|2020|2018|2017|2022
594,2025|2021|2020|2022|2018|2017|2020|2018|2024|2021
595,2024|2022|2019|2022|2020|2021|2021|2025|2020|2024
596,2023|2024|2022|2024|2021|2017|2023|2017|2019|2020
597,2023|2020|2024|2019|2023|2018|2018|2023|2021|2018
598,2021|2017|2019|2024|2022|2016|2024|2025|2020|2020
599,2016|2018|2025|2025|2024|2025|2021|2021|2016|2020
600,2025|2023|2024|2017|2023|2017|2023|2022|2024|2021
601,2017|2025|2016|2022|2023|2024|2021|2021|2022|2017
602,2021|2018|2018|2016|2021|2020|2020|2023|2024|2021
603,2025|2017|2018|2022|2020|2025|2017|2019|2018|2021
604,2019|2019|2016|2020|2024|2024|2021|2018|2025|2018
605,2019|2016|2019|2024|2017|2021|2017|2017|2018|2019
606,2016|2022|2019|2019|2017|2021|2024|2019|2018|2016
607,2016|2019|2017|2025|2022|2025|2021|2018|2019|2023
608,2018|2021|2020|2023|2024|2021|2020|2016|2025|2024
609,2023|2022|2025|2021|2021|2022|2022|2022|2021|2021
610,2025|2017|2021|2018|2020|2020|2023|2020|2020|2022
611,2022|2021|2019|2016|2023|2020|2021|2017|2023|2019
612,2020|2017|2018|2023|2024|2020|2022|2018|2022|2021
613,2022|2023|2018|2021|2022|2017|2024|2025|2025|2016
614,2022|2019|2022|2016|2022|2023|2023|2025|2017|2019
615,2025|2023|2018|2020|2023|2016|2024|2022|2021|2019
616,2024|2022|2021|2019|2021|2019|2016|2023|2024|2019
617,2023|2025|2017|2018|2019|2022|2016|2019|2016|2020
618,2016|2016|2018|2018|2023|2018|2017|2024|2016|2021
619,2024|2019|2025|2025|2020|2020|2023|2022|2016|2019
620,2024|2024|2020|2022|2019|2019|2018|2021|2023|2018
621,2022|2024|2018|2018|2020|2017|2022|2022|2022|2025
622,2017|2025|2017|2020|2023|2016|2018|2020|2019|2023
623,2017|2017|2017|2019|2022|2024|2025|2022|2017|2019
624,2024|2021|2019|2017|2020|2016|2024|2024|2016|2024
625,2023|2021|2016|2023|2017|2023|2022|2024|2025|2017
626,2019|2017|2017|2022|2023|2022|2021|2016|2016|2023
627,2018|2021|2019|2019|2024|2021|2023|2025|2022|2023
628,2019|2020|2023|2019|2025|2019|2020|2019|2021|2025
629,2016|2024|2024|2017|2024|2017|2021|2024|2021|2018
630,2020|2023|2019|2023|2025|2023|2024|2019|2018|2020
631,2025|2017|2025|2016|2020|2020|2025|2023|2023|2021
632,2017|2025|2018|2025|2022|2020|2018|2018|2024|2018
633,2020|2021|2019|2022|2016|2018|2018|2023|2019|2017
634,2017|2021|2017|2025|2016|2021|2019|2025|2018|2019
635,2024|2020|2019|2017|2016|2024|2018|2023|2024|2019
636,2016|2016|2018|2021|2024|2021|2017|2025|2019|2019
637,2021|2022|2024|2023|2025|2023|2024|2016|2020|2016
638,2019|2017|2025|2021|2023|2022|2023|2019|2023|2017
639,2018|2020|2016|2017|2019|2019|2018|2016|2016|2025
640,2020|2021|2021|2018|2025|2021|2019|2016|2025|2020
641,2021|2024|2025|2017|2022|2024|2016|2020|2020|2019
642,2024|2024|2018|2017|2024|2023|2022|2019|2022|2019
643,2024|2021|2024|2025|2020|2023|2025|2022|2025|2020
644,2024|2019|2016|2018|2018|2020|2023|2023|2019|2016
645,2017|2016|2017|2017|2021|2022|2018|2016|2017|2023
646,2017|2016|2021|2022|2019|2020|2022|2016|2022|2022
647,2023|2018|2023|2022|2017|2025|2017|2021|2023|2016
648,2022|2023|2016|2021|2022|2019|2025|2017|2022|2021
649,2021|2024|2024|2022|2021|2025|2024|2020|2018|2017
650,2022|2016|2024|2021|2017|2017|2016|2025|2020|2020
651,2018|2018|2025|2016|2022|2024|2021|2016|2019|2018
652,2025|2017|2017|2021|2023|2019|2023|2022|2018|2023
653,2019|2017|2016|2021|2018|2024|2025|2019|2021|2025
654,2024|2024|2016|2023|2017|2019|2024|2024|2016|2022
655,2022|2017|2017|2022|2023|2020|2017|2021|2016|2016
656,2021|2017|2025|2025|2021|2016|2024|2019|2023|2023
657,2025|2020|2021|2018|2020|2023|2019|2021|2020|2020
658,2018|2020|2017|2025|2025|2016|2022|2017|2016|2017
659,2021|2018|2024|2025|2024|2022|2017|2017|2023|2018
660,2020|2016|2019|2023|2017|2022|2025|2021|2020|2021
661,2018|2022|2023|2021|2018|2024|2017|2017|2022|2020
662,2019|2021|2018|2018|2017|2019|2018|2016|2022|2016
663,2016|2016|2020|2021|2021|2024|2023|2021|2018|2024
664,2022|2018|2020|2019|2018|2025|2023|2018|2025|2023
665,2016|2024|2025|2019|2024|2025|2018|2025|2018|2022
666,2024|2021|2017|2025|2024|2025|2020|2024|2024|2020
667,2022|2016|2023|2018|2021|2019|2017|2025|2019|2018
668,2020|2017|2019|2017|2018|2022|2022|2024|2021|2016
669,2025|2016|2022|2025|2016|2019|2024|2023|2019|2024
670,2020|2018|2016|2023|2016|2019|2016|2019|2024|2017
671,2019|2019|2020|2021|2019|2018|2025|2018|2018|2023
672,2024|2018|2022|2021|2017|2023|2024|2021|2016|2024
673,2017|2016|2025|2018|2025|2023|2022|2024|2018|2024
674,2022|2025|2019|2020|2023|2017|2022|2016|2021|2020
675,2025|2025|2020|2016|2024|2022|2023|2024|2024|2020
676,2019|2019|2024|2024|2024|2016|2025|2018|2023|2022
677,2024|2017|2020|2016|2017|2024|2024|2018|2020|2022
678,2022|2017|2020|2023|2021|2024|2021|2019|2020|2022
679,2018|2024|2017|2023|2023|2023|2019|2019|2025|2016
680,2017|2016|2025|2023|2019|2022|2023|2020|2019|2020
681,2020|2019|2020|2017|2020|2022|2025|2017|2016|2019
682,2020|2017|2019|2021|2018|2018|2020|2023|2022|2021
683,2025|2021|2017|2022|2017|2019|2025|2022|2020|2016
684,2017|2019|2020|2019|2018|2025|2022|2019|2021|2016
685,2020|2016|2024|2025|2025|2025|2019|2023|2024|2020
686,2024|2016|2025|2017|2023|2018|2023|2024|2024|2019
687,2017|2019|2022|2022|2019|2021|2022|2020|2017|2025
688,2018|2017|2020|2025|2023|2022|2021|2019|2020|2017
689,2016|2022|2019|2018|2024|2018|2019|2020|2020|2022
690,2019|2017|2021|2020|2021|2025|2021|2020|2021|2017
691,2019|2017|2022|2017|2018|2022|2018|2025|2024|2019
692,2016|2024|2024|2025|2024|2023|2023|2019|2020|2018
693,2022|2019|2023|2016|2025|2025|2021|2021|2022|2023
694,2021|2024|2018|2017|2018|2022|2021|2021|2019|2016
695,2021|2017|2025|2018|2024|2016|2018|2025|2024|2022
696,2025|2020|2019|2020|2020|2025|2017|2022|2022|2019
697,2016|2023|2021|2021|2024|2019|2025|2024|2021|2019
698,2021|2021|2019|2020|2019|2024|2018|2025|2022|2016
699,2016|2020|2025|2018|2017|2025|2024|2021|2021|2016
700,2021|2022|2016|2023|2018|2020|2025|2022|2016|2021
701,2019|2025|2022|2019|2024|2016|2017|2017|2018|2023
702,2017|2023|2025|2019|2025|2022|2021|2024|2016|2022
703,2019|2021|2016|2024|2017|2022|2022|2025|2016|2025
704,2019|2017|2016|2016|2021|2025|2025|2019|2025|2022
705,2024|2024|2017|2025|2021|2018|2022|2021|2019|2022
706,2022|2025|2017|2019|2023|2018|2022|2023|2019|2020
707,2019|2022|2022|2021|2016|2019|2018|2022|2020|2019
708,2020|2022|2017|2023|2018|2016|2016|2025|2022|2021
709,2021|2016|2021|2016|2025|2016|2020|2024|2019|2016
710,2018|2016|2019|2025|2017|2018|2019|2018|2020|2018
711,2025|2023|2022|2023|2020|2017|2016|2023|2017|2017
712,2018|2023|2022|2025|2016|2022|2019|2018|2020|2016
713,2017|2020|2022|2024|2022|2025|2019|2020|2017|2019
714,2017|2021|2019|2017|2017|2020|2023|2016|2024|2024
715,2024|2024|2025|2024|2016|2020|2024|2024|2022|2022
716,2017|2021|2023|2016|2021|2017|2016|2016|2025|2024
717,2016|2016|2019|2023|2016|2023|2021|2021|2017|2024
718,2018|2020|2021|2018|2022|2016|2025|2019|2023|2023
719,2021|2016|2019|2017|2019|2017|2020|2017|2024|2022
720,2017|2025|2020|2025|2023|2018|2019|2018|2025|2025
721,2020|2017|2025|2020|2020|2020|2019|2022|2023|2018
722,2018|2025|2019|2019|2020|2021|2016|2020|2019|2024
723,2024|2022|2023|2020|2021|2022|2024|2020|2025|2022
724,2023|2021|2021|2022|2021|2024|2018|2021|2019|2017
725,2016|2024|2021|2022|2023|2016|2025|2017|2018|2019
726,2024|2023|2019|2023|2018|2017|2025|2025|2016|2020
727,2016|2019|2016|2022|2025|2016|2023|2021|2022|2024
728,2017|2024|2020|2024|2025|2019|2025|2019|2023|2017
729,2017|2016|2024|2022|2021|2023|2016|2024|2024|2022
730,2017|2017|2024|2016|2021|2019|2016|2021|2016|2019
731,2018|2023|2024|2021|2021|2021|2021|2022|2017|2019
732,2023|2016|2017|2023|2024|2018|2022|2024|2020|2021
733,2020|2025|2022|2023|2019|2019|2016|2018|2018|2021
734,2018|2016|2024|2024|2023|2025|2016|2017|2024|2023
735,2023|2022|2021|2020|2020|2025|2023|2021|2019|2019
736,2025|2020|2019|2021|2024|2024|2024|2017|2021|2020
737,2022|2025|2021|2017|2022|2020|2023|2017|2020|2024
738,2025|2025|2021|2022|2016|2016|2021|2019|2024|2018
739,2019|2016|2017|2024|2016|2024|2022|2025|2024|2021
740,2024|2022|2016|2016|2021|2025|2018|2024|2017|2021
741,2025|2022|2022|2020|2021|2023|2023|2016|2023|2022
742,2018|2023|2021|2023|2016|2023|2023|2016|2017|2017
743,2024|2019|2022|2022|2023|2025|2016|2019|2021|2020
744,2025|2024|2020|2021|2020|2017|2017|2016|2023|2019
745,2017|2021|2018|2019|2016|2025|2017|2016|2017|2022
746,2018|2016|2017|2018|2019|2017|2023|2025|2022|2017
747,2025|2020|2019|2018|2017|2017|2025|2024|2016|2020
748,2022|2020|2025|2023|2021|2018|2023|2016|2016|2024
749,2022|2016|2016|2022|2022|2017|2022|2018|2024|2022
750,2019|2018|2024|2025|2023|2019|2016|2024|2019|2018
751,2018|2017|2025|2017|2022|2020|2018|2019|2023|2018
752,2023|2021|2021|2021|2023|2020|2017|2023|2016|2017
753,2024|2020|2017|2024|2023|2022|2021|2017|2021|2024
754,2018|2023|2016|2020|2021|2024|2018|2019|2016|2023
755,2023|2021|2019|2025|2024|2018|2019|2024|2020|2019
756,2016|2017|2017|2021|2022|2022|2024|2020|2025|2017
757,2016|2018|2025|2018|2019|2016|2017|2024|2016|2018
758,2025|2018|2018|2018|2023|2018|2016|2017|2021|2020
759,2020|2019|2023|2018|2017|2016|2022|2022|2025|2023
760,2023|2021|2017|2019|2018|2018|2017|2023|2020|2020
761,2016|2019|2021|2016|2018|2020|2018|2016|2017|2016
762,2016|2023|2021|2022|2019|2023|2019|2019|2016|2024
763,2019|2020|2018|2024|2019|2022|2017|2025|2018|2025
764,2019|2016|2019|2018|2025|2017|2018|2018|2016|2023
765,2022|2016|2018|2025|2022|2019|2023|2022|2019|2025
766,2022|2024|2021|2016|2025|2017|2019|2023|2025|2016
767,2025|2021|2020|2020|2018|2025|2020|2022|2016|2017
768,2021|2019|2024|2016|2025|2017|2020|2023|2016|2025
769,2025|2024|2020|2021|2021|2016|2023|2024|2018|2017
770,2018|2018|2024|2025|2025|2024|2016|2019|2021|2020
771,2017|2017|2022|2020|2019|2023|2016|2017|2022|2016
772,2018|2020|2017|2020|2020|2020|2018|2019|2018|2023
773,2019|2018|2017|2021|2016|2023|2020|2018|2020|2021
774,2022|2017|2024|2019|2021|2020|2021|2025|2017|2021
775,2025|2017|2019|2020|2016|2021|2021|2022|2016|2020
776,2025|2016|2016|2025|2022|2025|2022|2019|2021|2018
777,2025|2019|2023|2025|2018|2017|2021|2023|2019|2025
778,2022|2021|2024|2020|2017|2023|2018|2019|2016|2017
779,2019|2023|2020|2023|2019|2020|2025|2021|2024|2022
780,2024|2018|2022|2016|2017|2017|2021|2018|2024|2017
781,2025|2017|2021|2016|2017|2017|2018|2018|2016|2025
782,2024|2020|2019|2022|2016|2020|2023|2018|2020|2016
783,2025|2021|2021|2023|2020|2020|2022|2024|2017|2022
784,2016|2020|2020|2017|2017|2024|2024|2023|2018|2022
785,2024|2017|2017|2024|2023|2020|2025|2023|2024|2021
786,2016|2019|2016|2020|2017|2018|2017|2023|2022|2019
787,2018|2019|2024|2019|2022|2017|2024|2017|2022|2024
788,2020|2018|2021|2024|2020|2020|2021|2022|2024|2020
789,2025|2021|2016|2019|2020|2021|2022|2020|2017|2025
790,2019|2025|2016|2024|2019|2022|2020|2025|2025|2022
791,2022|2019|2025|2023|2021|2024|2016|2025|2021|2024
792,2016|2017|2022|2019|2023|2016|2018|2022|2017|2025
793,2019|2024|2020|2019|2020|2017|2024|2022|2020|2021
794,2023|2017|2018|2024|2017|2021|2020|2019|2024|2017
795,2018|2018|2019|2024|2025|2018|2019|2019|2024|2019
796,2022|2023|2023|2016|2020|2023|2022|2025|2024|2023
797,2020|2016|2025|2022|2023|2023|2021|2019|2019|2025
798,2020|2024|2025|2024|2017|2021|2022|2021|2024|2025
799,2018|2025|2016|2017|2016|2018|2024|2025|2019|2021
800,2021|2016|2016|2024|2025|2016|2018|2018|2018|2020
801,2021|2017|2025|2022|2024|2023|2022|2020|2024|2020
802,2025|2018|2025|2020|2020|2022|2017|2020|2017|2022
803,2016|2019|2025|2019|2024|2018|2018|2016|2016|2021
804,2019|2017|2017|2021|2018|2022|2025|2025|2019|2021
805,2021|2019|2017|2021|2021|2019|2025|2019|2016|2020
806,2021|2025|2022|2019|2019|2025|2024|2021|2022|2016
807,2019|2021|2022|2018|2020|2024|2023|2022|2023|2022
808,2020|2017|2021|2017|2017|2019|2019|2016|2018|2023
809,2017|2021|2021|2025|2016|2023|2024|2019|2021|2021
810,2025|2023|2024|2017|2016|2020|2016|2018|2025|2023
811,2019|2020|2023|2025|2020|2020|2020|2016|2020|2020
812,2018|2016|2018|2017|2019|2018|2023|2025|2023|2016
813,2017|2021|2019|2024|2024|2016|2020|2023|2018|2022
814,2025|2025|2020|2021|2020|2024|2023|2016|2023|2025
815,2017|2016|2024|2021|2022|2017|2022|2023|2018|2020
816,2018|2016|2016|2018|2016|2025|2021|2023|2025|2019
817,2017|2024|2023|2018|2016|2016|2025|2016|2023|2022
818,2018|2025|2019|2024|2022|2023|2024|2016|2017|2016
819,2020|2024|2017|2018|2024|2025|2019|2023|2023|2017
820,2017|2018|2017|2024|2022|2023|2023|2024|2023|2020
821,2020|2023|2023|2025|2020|2025|2018|2016|2018|2018
822,2016|2017|2016|2021|2021|2016|2018|2024|2022|2019
823,2022|2025|2018|2021|2024|2025|2018|2017|2018|2022
824,2022|2016|2020|2025|2025|2025|2025|2023|2022|2018
825,2016|2017|2024|2017|2016|2023|2022|2025|2023|2022
826,2024|2019|2017|2022|2021|2021|2019|2016|2017|2024
827,2020|2019|2023|2017|2022|2018|2025|2025|2020|2021
828,2021|2017|2024|2023|2025|2022|2020|2020|2023|2018
829,2017|2019|2024|2025|2024|2022|2020|2019|2019|2020
830,2020|2025|2022|2025|2023|2022|2019|2025|2020|2021
831,2017|2018|2025|2020|2017|2016|2020|2019|2022|2021
832,2025|2022|2025|2016|2022|2022|2025|2024|2018|2025
833,2023|2025|2022|2023|2017|2023|2018|2020|2021|2018
834,2022|2018|2019|2018|2016|2018|2019|2018|2025|2019
835,2025|2018|2021|2018|2022|2023|2025|2021|2023|2018
836,2023|2018|2021|2018|2018|2018|2024|2024|2025|2019
837,2020|2017|2016|2019|2018|2024|2019|2025|2022|2022
838,2024|2018|2022|2018|2021|2020|2017|2024|2025|2020
839,2024|2024|2019|2018|2019|2019|2018|2018|2016|2018
840,2020|2025|2024|2019|2021|2021|2016|2020|2017|2021
841,2018|2024|2025|2021|2025|2025|2022|2021|2019|2021
842,2025|2025|2016|2017|2017|2024|2016|2021|2023|2018
843,2024|2021|2016|2017|2018|2017|2019|2019|2024|2024
844,2024|2023|2023|2024|2023|2021|2016|2022|2025|2020
845,2020|2016|2025|2021|2022|2023|2023|2016|2020|2021
846,2025|2021|2020|2016|2024|2021|2017|2019|2023|2022
847,2024|2019|2016|2017|2023|2025|2021|2024|2025|2020
848,2020|2017|2017|2017|2022|2017|2023|2020|2024|2018
849,2019|2022|2024|2023|2022|2024|2019|2023|2018|2019
850,2022|2020|2020|2024|2018|2020|2016|2024|2025|2017
851,2021|2020|2019|2020|2018|2023|2023|2025|2019|2018
852,2021|2023|2023|2020|2024|2017|2020|2016|2022|2024
853,2019|2021|2016|2017|2019|2020|2017|2022|2018|2025
854,2023|2016|2023|2025|2019|2019|2016|2018|2019|2018
855,2021|2017|2016|2019|2018|2016|2020|2018|2018|2021
856,2025|2017|2018|2016|2017|2023|2018|2023|2025|2022
857,2019|2019|2019|2021|2017|2021|2019|2025|2024|2018
858,2020|2021|2016|2018|2020|2020|2025|2021|2017|2024
859,2025|2024|2017|2021|2022|2025|2021|2022|2019|2024
860,2024|2020|2025|2021|2020|2020|2023|2023|2016|2023
861,2023|2021|2016|2023|2021|2017|2022|2018|2024|2025
862,2025|2022|2024|2018|2019|2023|2022|2021|2019|2025
863,2020|2019|2022|2016|2020|2018|2022|2019|2020|2024
864,2025|2017|2022|2024|2022|2016|2017|2019|2020|2025
865,2019|2020|2017|2023|2016|2016|2020|2017|2018|2024
866,2018|2024|2020|2019|2020|2021|2023|2024|2020|2021
867,2016|2022|2024|2016|2020|2018|2017|2017|2025|2019
868,2018|2025|2021|2020|2018|2022|2019|2019|2016|2018
869,2025|2020|2023|2020|2018|2017|2019|2018|2020|2024
870,2017|2018|2022|2020|2024|2016|2016|2023|2024|2016
871,2019|2022|2019|2018|2018|2025|2016|2016|2025|2019
872,2024|2022|2019|2021|2019|2021|2016|2023|2020|2022
